id,buggy_code,fixed_code,commit_message,commit_url,date
92,"def get_value(key, d={})","def get_value(key, d=None)",Изменяемый аргумент по умолчанию.,https://github.com/example/repo/commit/dummy,2025-01-01
93,indentationerror,pass,"Ошибка отступов. Проверьте, что используете одинаковые отступы (лучше 4 пробела).",https://github.com/example/repo,2025-01-01
94,"def calculate(a, b)","def calculate(a, b):",Пропущено двоеточие в объявлении функции.,https://github.com/example/repo,2025-01-01
95,if count > 5,if count > 5:,Пропущено двоеточие в условии if.,https://github.com/example/repo,2025-01-01
96,else,else:,Пропущено двоеточие после else.,https://github.com/example/repo,2025-01-01
97,elif x < 5,elif x < 5:,Пропущено двоеточие после elif.,https://github.com/example/repo,2025-01-01
98,for i in range(5),for i in range(5):,Пропущено двоеточие в цикле for.,https://github.com/example/repo,2025-01-01
99,for i in range(10),for i in range(10):,Пропущено двоеточие в цикле for.,https://github.com/example/repo,2025-01-01
100,for x in range(len(data)),for x in range(len(data)):,Пропущено двоеточие в цикле for.,https://github.com/example/repo,2025-01-01
101,for user in users,for user in users:,Пропущено двоеточие в цикле for.,https://github.com/example/repo,2025-01-01
102,"for i, item in enumerate(items)","for i, item in enumerate(items):",Пропущено двоеточие в цикле for.,https://github.com/example/repo,2025-01-01
103,while x < 100,while x < 100:,Пропущено двоеточие в цикле while.,https://github.com/example/repo,2025-01-01
104,print x,print(x),В Python 3 для print требуются скобки.,https://github.com/example/repo,2025-01-01
105,def func(l=[]),def func(l=None),Опасно использовать изменяемый объект (список) как аргумент по умолчанию. Используйте None.,https://github.com/example/repo,2025-01-01
106,class myClass:,class MyClass:,Названия классов принято писать в CapWords (с Большой Буквы).,https://github.com/example/repo,2025-01-01
107,"print 'Hello, world!'","print('Hello, world!')",В Python 3 print — это функция. Обязательно используйте скобки.,https://github.com/example/manual-add,2025-01-01
108,"x = 10
if x > 5
    print('x is greater than 5')","x = 10
if x > 5:
    print('x is greater than 5')",Пропущено двоеточие в конце условия if.,https://github.com/example/manual-add,2025-01-01
109,"for i in range(5)
    print(i)","for i in range(5):
    print(i)",Пропущено двоеточие в конце цикла for.,https://github.com/example/manual-add,2025-01-01
110,"if y = 7:
    print('y is seven')","if y == 7:
    print('y is seven')",Синтаксическая ошибка: нельзя использовать присваивание '=' в условии. Используйте сравнение '=='.,https://github.com/example/manual-add,2025-01-01
111,"def greet(name):
print(f'Hello {name}')","def greet(name):
    print(f'Hello {name}')",Ошибка отступа (IndentationError). Тело функции должно быть смещено вправо.,https://github.com/example/manual-add,2025-01-01
112,print(undeclared_variable),"undeclared_variable = 'test'
print(undeclared_variable)",Переменная не объявлена (NameError). Проверьте название переменной или объявите её.,https://github.com/example/manual-add,2025-01-01
113,"def add(a, b)
    return a + b","def add(a, b):
    return a + b",Пропущено двоеточие в объявлении функции.,https://github.com/example/manual-add,2025-01-01
114,result = 10 / 0,"try:
    result = 10 / 0
except ZeroDivisionError:
    result = 0",Деление на ноль невозможно (ZeroDivisionError). Добавьте проверку делителя.,https://github.com/example/manual-add,2025-01-01
115,"lst = [1, 2, 3]
print(lst[5])","lst = [1, 2, 3]
if len(lst) > 5:
    print(lst[5])",Индекс выходит за пределы списка (IndexError).,https://github.com/example/manual-add,2025-01-01
116,"d = {'a': 1, 'b': 2}
print(d['c'])","d = {'a': 1, 'b': 2}
print(d.get('c'))",Ключ не найден в словаре (KeyError). Используйте метод .get() для безопасного доступа.,https://github.com/example/manual-add,2025-01-01
117,numbers = [1 2 3 4],"numbers = [1, 2, 3, 4]",Синтаксическая ошибка. Элементы списка должны быть разделены запятыми.,https://github.com/example/manual-add,2025-01-01
118,"for i in range(5,):
    print(i)","for i in range(5):
    print(i)",Странный синтаксис range. Уберите лишнюю запятую.,https://github.com/example/manual-add,2025-01-01
119,s = Hello World,s = 'Hello World',Синтаксическая ошибка. Строковые литералы должны быть заключены в кавычки.,https://github.com/example/manual-add,2025-01-01
120,"x = '10'
y = x + 5","x = '10'
y = int(x) + 5",Ошибка типов (TypeError). Нельзя складывать строку и число без преобразования.,https://github.com/example/manual-add,2025-01-01
121,"value = None
value.upper()","value = None
if value:
    value.upper()",Попытка вызвать метод у объекта NoneType (AttributeError). Добавьте проверку на None.,https://github.com/example/manual-add,2025-01-01
122,my_dict = {'a': 1 'b': 2},"my_dict = {'a': 1, 'b': 2}",Синтаксическая ошибка в словаре. Элементы должны разделяться запятой.,https://github.com/example/manual-add,2025-01-01
123,squares = [x**2 for x in range(5) if],squares = [x**2 for x in range(5) if x > 0],Синтаксическая ошибка в List Comprehension. Условие if не закончено.,https://github.com/example/manual-add,2025-01-01
124,class = 10,my_class = 10,Синтаксическая ошибка. 'class' является зарезервированным словом и не может быть именем переменной.,https://github.com/example/manual-add,2025-01-01
125,"count = 0
while count < 5
    print(count)
    count += 1","count = 0
while count < 5:
    print(count)
    count += 1",Пропущено двоеточие в конце условия while.,https://github.com/example/manual-add,2025-01-01
126,invalid syntauser_id,Syntauser_id Corrected,"Синтаксическая ошибка. Проверьте конструкцию (if, for, def) и скобки.",https://github.com/example/merged,2025-01-01
127,invalid syntavalue,Syntavalue Corrected,"Синтаксическая ошибка. Проверьте конструкцию (if, for, def) и скобки.",https://github.com/example/merged,2025-01-01
128,invalid syntacount,Syntacount Corrected,"Синтаксическая ошибка. Проверьте конструкцию (if, for, def) и скобки.",https://github.com/example/merged,2025-01-01
129,euser_idpected ':',:,"Пропущено двоеточие в конце строки (if, def, class, while).",https://github.com/example/merged,2025-01-01
130,evaluepected ':',:,"Пропущено двоеточие в конце строки (if, def, class, while).",https://github.com/example/merged,2025-01-01
131,eypected ':',:,"Пропущено двоеточие в конце строки (if, def, class, while).",https://github.com/example/merged,2025-01-01
132,unedatapected indent,pass,Ошибка отступа. Уберите лишние пробелы в начале строки.,https://github.com/example/merged,2025-01-01
133,uneuser_idpected indent,pass,Ошибка отступа. Уберите лишние пробелы в начале строки.,https://github.com/example/merged,2025-01-01
134,uneypected indent,pass,Ошибка отступа. Уберите лишние пробелы в начале строки.,https://github.com/example/merged,2025-01-01
135,ecountpected an indented block,    pass,Ожидается блок с отступом. Добавьте 4 пробела после двоеточия.,https://github.com/example/merged,2025-01-01
136,eindexpected an indented block,    pass,Ожидается блок с отступом. Добавьте 4 пробела после двоеточия.,https://github.com/example/merged,2025-01-01
137,eypected an indented block,    pass,Ожидается блок с отступом. Добавьте 4 пробела после двоеточия.,https://github.com/example/merged,2025-01-01
138,data indedata out of range,if len(lst) > i:,Индекс выходит за пределы списка. Проверьте длину массива.,https://github.com/example/merged,2025-01-01
139,value indevalue out of range,if len(lst) > i:,Индекс выходит за пределы списка. Проверьте длину массива.,https://github.com/example/merged,2025-01-01
140,y indey out of range,if len(lst) > i:,Индекс выходит за пределы списка. Проверьте длину массива.,https://github.com/example/merged,2025-01-01
141,if y == 10,if y == 10:,Пропущено двоеточие в условии if.,https://github.com/example/merged,2025-01-01
142,if value == 10,if value == 10:,Пропущено двоеточие в условии if.,https://github.com/example/merged,2025-01-01
143,if user_id == 10,if user_id == 10:,Пропущено двоеточие в условии if.,https://github.com/example/merged,2025-01-01
144,if value = 5:,if value == 5:,"Ошибка условия: используйте '==' для сравнения, а не '='.",https://github.com/example/merged,2025-01-01
145,if data = 5:,if data == 5:,"Ошибка условия: используйте '==' для сравнения, а не '='.",https://github.com/example/merged,2025-01-01
146,if count = 5:,if count == 5:,"Ошибка условия: используйте '==' для сравнения, а не '='.",https://github.com/example/merged,2025-01-01
147,if data = y:,if data == y:,Синтаксическая ошибка: присваивание внутри условия.,https://github.com/example/merged,2025-01-01
148,if value = y:,if value == y:,Синтаксическая ошибка: присваивание внутри условия.,https://github.com/example/merged,2025-01-01
149,if index = y:,if index == y:,Синтаксическая ошибка: присваивание внутри условия.,https://github.com/example/merged,2025-01-01
150,"value = (1, 2","value = (1, 2)",Не закрыта круглая скобка.,https://github.com/example/merged,2025-01-01
151,"user_id = (1, 2","user_id = (1, 2)",Не закрыта круглая скобка.,https://github.com/example/merged,2025-01-01
152,"index = (1, 2","index = (1, 2)",Не закрыта круглая скобка.,https://github.com/example/merged,2025-01-01
153,if index > 0 or index < 10:,if 0 < index < 10:,Логическая ошибка в условии (всегда True). Используйте 0 < x < 10.,https://github.com/example/merged,2025-01-01
154,if value > 0 or value < 10:,if 0 < value < 10:,Логическая ошибка в условии (всегда True). Используйте 0 < x < 10.,https://github.com/example/merged,2025-01-01
155,if item > 0 or item < 10:,if 0 < item < 10:,Логическая ошибка в условии (всегда True). Используйте 0 < x < 10.,https://github.com/example/merged,2025-01-01
156,for i in value:,for i in my_value:,"Не используйте 'list' как имя переменной, это встроенный тип.",https://github.com/example/merged,2025-01-01
157,for i in item:,for i in my_item:,"Не используйте 'list' как имя переменной, это встроенный тип.",https://github.com/example/merged,2025-01-01
158,for i in count:,for i in my_count:,"Не используйте 'list' как имя переменной, это встроенный тип.",https://github.com/example/merged,2025-01-01
159,if y is 10:,if y == 10:,"Используйте '==' для сравнения чисел, 'is' — для проверки идентичности объектов.",https://github.com/example/merged,2025-01-01
160,if index is 10:,if index == 10:,"Используйте '==' для сравнения чисел, 'is' — для проверки идентичности объектов.",https://github.com/example/merged,2025-01-01
161,file = open('f.tcountt'),with open('f.tcountt') as f:,Используйте контекстный менеджер 'with' для работы с файлами.,https://github.com/example/merged,2025-01-01
162,file = open('f.tuser_idt'),with open('f.tuser_idt') as f:,Используйте контекстный менеджер 'with' для работы с файлами.,https://github.com/example/merged,2025-01-01
163,file = open('f.tdatat'),with open('f.tdatat') as f:,Используйте контекстный менеджер 'with' для работы с файлами.,https://github.com/example/merged,2025-01-01
164,"try:
    pass
eycept:","try:
    pass
eycept Eyception:",Не используйте 'bare except'. Указывайте конкретный тип исключения.,https://github.com/example/merged,2025-01-01
165,"try:
    pass
ecountcept:","try:
    pass
ecountcept Ecountception:",Не используйте 'bare except'. Указывайте конкретный тип исключения.,https://github.com/example/merged,2025-01-01
166,"try:
    pass
edatacept:","try:
    pass
edatacept Edataception:",Не используйте 'bare except'. Указывайте конкретный тип исключения.,https://github.com/example/merged,2025-01-01
167,value=1,value = 1,Добавьте пробелы вокруг оператора присваивания.,https://github.com/example/merged,2025-01-01
168,item=1,item = 1,Добавьте пробелы вокруг оператора присваивания.,https://github.com/example/merged,2025-01-01
169,count=1,count = 1,Добавьте пробелы вокруг оператора присваивания.,https://github.com/example/merged,2025-01-01
170,count = count+1,count += 1,Используйте оператор += для инкремента.,https://github.com/example/merged,2025-01-01
171,user_id = [],my_user_id = [],Переменная 'list' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
172,y = [],my_y = [],Переменная 'list' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
173,count = [],my_count = [],Переменная 'list' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
174,str = 'teitemt',teitemt_str = 'teitemt',Переменная 'str' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
175,str = 'tevaluet',tevaluet_str = 'tevaluet',Переменная 'str' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
176,str = 'tedatat',tedatat_str = 'tedatat',Переменная 'str' перекрывает встроенный тип.,https://github.com/example/merged,2025-01-01
177,elif user_id < 5,elif user_id < 5:,Пропущено двоеточие после elif.,https://github.com/example/merged,2025-01-01
178,elif index < 5,elif index < 5:,Пропущено двоеточие после elif.,https://github.com/example/merged,2025-01-01
179,for item in range(len(data)),for item in range(len(data)):,Пропущено двоеточие в цикле for.,https://github.com/example/merged,2025-01-01
180,while data < 100,while data < 100:,Пропущено двоеточие в цикле while.,https://github.com/example/merged,2025-01-01
181,print data,print(data),В Python 3 для print требуются скобки.,https://github.com/example/merged,2025-01-01
182,import non_evalueisting_module,import os  # пример существующего модуля,Модуль не найден (ModuleNotFoundError). Проверьте имя модуля или установите его через pip.,https://github.com/example/merged,2025-01-01
183,import non_euser_idisting_module,import os  # пример существующего модуля,Модуль не найден (ModuleNotFoundError). Проверьте имя модуля или установите его через pip.,https://github.com/example/merged,2025-01-01
184,"item = '10'
y = item + 5","item = '10'
y = int(item) + 5",Ошибка типов (TypeError). Нельзя складывать строку и число без преобразования.,https://github.com/example/merged,2025-01-01
185,"y = '10'
y = y + 5","y = '10'
y = int(y) + 5",Ошибка типов (TypeError). Нельзя складывать строку и число без преобразования.,https://github.com/example/merged,2025-01-01
186,"data = '10'
y = data + 5","data = '10'
y = int(data) + 5",Ошибка типов (TypeError). Нельзя складывать строку и число без преобразования.,https://github.com/example/merged,2025-01-01
