id,buggy_code,fixed_code,commit_message,commit_url,date
17,"def foo()
    print('Missing colon in function definition')
# Sample ID: 17","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 17",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/bdb1e659f6e29d64a52dfbc170a0c3eb8ff0c3fa,2025-01-10
18,"for i in range(10):
print(i)
# Sample ID: 18","for i in range(10):
    print(i)
# Sample ID: 18",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/2a611ca48e1e65c8e44158c775861426a39fb58c,2025-05-22
19,"while True
    do_something()
# Sample ID: 19","while True:
    do_something()
# Sample ID: 19",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/eb8e9e4d1a761efe7c68fdd9a1637b683942a625,2025-03-29
20,"x = [1, 2, 3]
print x
# Sample ID: 20","x = [1, 2, 3]
print(x)
# Sample ID: 20",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/bee784116cb412490648342b3111d2c09673a6bf,2023-09-19
21,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 21","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 21",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/6bc0b97c802df32ddb5673d6c93d0fa96ff5a066,2023-08-17
22,"def foo()
    print('Missing colon in function definition')
# Sample ID: 22","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 22",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/ba63cc24b94f5af2c465602096f5290ffe4b7f98,2025-04-25
23,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 23","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 23",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/e54ef8ea26abc2d9a65200da3ec442066df82d67,2024-08-16
24,"def foo()
    print('Missing colon in function definition')
# Sample ID: 24","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 24",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/ab2a1e8c39bedbdc19fa1a3c7f55846ef8b3b1f1,2024-02-24
25,"for i in range(10):
print(i)
# Sample ID: 25","for i in range(10):
    print(i)
# Sample ID: 25",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/5df7e43f7e97754c6d0a1059f75b8cc48b090e93,2024-02-20
26,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 26","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 26",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/fa02052c7432c1110e4143593e0284e2492221f4,2025-03-01
27,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 27","def greet(name):
    print('Hello, ' + name)
# Sample ID: 27",Minor syntax corrections,https://github.com/open-source-repo/commit/fc64f2faa7817d37c8fac8cb94017b30465f5577,2023-09-08
28,"def add(a, b)
    return a + b
# Sample ID: 28","def add(a, b):
    return a + b
# Sample ID: 28",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/a1a5221f229c25568589d3c68cba2dc69d028ac9,2025-01-25
29,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 29","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 29",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/224f128e129a9e0e7f96df693a8c700de344ec3c,2024-06-06
30,"while True
    do_something()
# Sample ID: 30","while True:
    do_something()
# Sample ID: 30",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/4e4c6c40d646497009f3a7da3041b2e7e9b0d3ed,2023-12-10
31,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 31","def greet(name):
    print('Hello, ' + name)
# Sample ID: 31",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/3d5a6e3ba94d9d643d03aea8b6a2d7a6259a6411,2025-04-09
32,"for i in range(10):
print(i)
# Sample ID: 32","for i in range(10):
    print(i)
# Sample ID: 32",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/2f13c2cef99299bb9e5a13cd7527baf1e7e3a93d,2025-07-09
33,"if x = 5:
    print('x is 5')
# Sample ID: 33","if x == 5:
    print('x is 5')
# Sample ID: 33",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/a152f6960cf51960ace118e0d3de0c69d9f70eff,2024-01-07
34,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 34","def greet(name):
    print('Hello, ' + name)
# Sample ID: 34",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/febf05bf118c0eded35a49b8f12f8a2c85161f24,2024-10-31
35,"x = [1, 2, 3]
print x
# Sample ID: 35","x = [1, 2, 3]
print(x)
# Sample ID: 35",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/528129bb5f8062e8ec3033daa874ed0fe4e107c6,2024-06-17
36,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 36","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 36",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/dd50485ea34a9b0d62a4f39946355698d20f5001,2025-04-21
37,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 37","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 37",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/901429cbbf4b744bca26db7acfc863461d14fa60,2024-11-11
38,"def add(a, b)
    return a + b
# Sample ID: 38","def add(a, b):
    return a + b
# Sample ID: 38",Improved readability with proper indentation,https://github.com/open-source-repo/commit/6dad0da7795a154253decd8fdaee5acfc4ac9563,2025-07-01
39,"def add(a, b)
    return a + b
# Sample ID: 39","def add(a, b):
    return a + b
# Sample ID: 39",Minor syntax corrections,https://github.com/open-source-repo/commit/f545765dc5e933182171591e857a6b4159cb08e3,2025-03-21
40,"def foo()
    print('Missing colon in function definition')
# Sample ID: 40","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 40",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/e6ca6588c4195fc80f9b35d48e6f2dbb0e3d2cb6,2025-07-13
41,"for i in range(10):
print(i)
# Sample ID: 41","for i in range(10):
    print(i)
# Sample ID: 41",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/23243a39f3eeba296a16e0c41f3e9844e235dcf8,2024-05-09
42,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 42","def greet(name):
    print('Hello, ' + name)
# Sample ID: 42",Added missing parentheses for print function,https://github.com/open-source-repo/commit/5430b3f54fb289f16bd21b847567f6391f8b6f5d,2024-02-03
43,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 43","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 43",Minor syntax corrections,https://github.com/open-source-repo/commit/d3aaf3ee5c482df020f96c81485356ee8f385425,2025-05-29
44,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 44","def greet(name):
    print('Hello, ' + name)
# Sample ID: 44",Added missing parentheses for print function,https://github.com/open-source-repo/commit/9e2bc6eaa63b32780d782777f2d0d17121d6610e,2023-09-08
45,"x = [1, 2, 3]
print x
# Sample ID: 45","x = [1, 2, 3]
print(x)
# Sample ID: 45",Added missing parentheses for print function,https://github.com/open-source-repo/commit/c630564eeb6d658e6120fa5d2b4a2ff8e482c0f7,2024-12-21
46,"while True
    do_something()
# Sample ID: 46","while True:
    do_something()
# Sample ID: 46",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/c2a1940b7364e1069767e86d0b5f664bebc30867,2024-10-14
47,"x = [1, 2, 3]
print x
# Sample ID: 47","x = [1, 2, 3]
print(x)
# Sample ID: 47",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/92b62c15324e0e7791d9b97426d801961587b464,2024-03-05
48,"for i in range(10):
print(i)
# Sample ID: 48","for i in range(10):
    print(i)
# Sample ID: 48",Updated function definition to include colon,https://github.com/open-source-repo/commit/e586f25e4c69177b5ac31286206f0656cba3d670,2024-06-17
49,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 49","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 49",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/4164f129acb3ce6ff439cd807fdac797480fe20c,2023-10-02
50,"if x = 5:
    print('x is 5')
# Sample ID: 50","if x == 5:
    print('x is 5')
# Sample ID: 50",Updated function definition to include colon,https://github.com/open-source-repo/commit/321b240de9d19c1238eb5197a0aa08090ec2d66c,2023-12-18
51,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 51","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 51",Updated function definition to include colon,https://github.com/open-source-repo/commit/ea0b82a9ed44f220ff4e9ea2fd52aed7c89a11bc,2023-08-21
52,"x = [1, 2, 3]
print x
# Sample ID: 52","x = [1, 2, 3]
print(x)
# Sample ID: 52",Updated function definition to include colon,https://github.com/open-source-repo/commit/0296dad534464452d801690c6476b1455125a4e0,2025-04-17
53,"x = [1, 2, 3]
print x
# Sample ID: 53","x = [1, 2, 3]
print(x)
# Sample ID: 53",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/fbe74e9cdb0ed3a84e32fd8968f1017898063105,2024-12-13
54,"while True
    do_something()
# Sample ID: 54","while True:
    do_something()
# Sample ID: 54",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/8e8776743cd8d07a832e3a22dec2b26cd47d9bf3,2023-08-21
55,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 55","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 55",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/1dfa25194c2b2d0f5e0182e90dc4c6c6cc3e11dc,2025-04-23
56,"def foo()
    print('Missing colon in function definition')
# Sample ID: 56","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 56",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/a76446c8033856ab6777ca1f7fe1cb7ed7ac907c,2025-02-20
57,"for i in range(10):
print(i)
# Sample ID: 57","for i in range(10):
    print(i)
# Sample ID: 57",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/dcc870fca7541876e4ba7bf25b65ece040216a49,2025-07-08
58,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 58","def greet(name):
    print('Hello, ' + name)
# Sample ID: 58",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/be2b640331378e83bdf85bac86c2a5b12065f69f,2025-05-07
59,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 59","def greet(name):
    print('Hello, ' + name)
# Sample ID: 59",Added missing parentheses for print function,https://github.com/open-source-repo/commit/b555fa8849829015f8c2f255c94d1aff30056c05,2024-04-22
60,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 60","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 60",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/03a29d2f36e293773b32f13b03f007be733f02c5,2024-09-11
61,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 61","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 61",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/84aee8fb1b04d30003ce48894923f1289ec3356e,2023-10-19
62,"def add(a, b)
    return a + b
# Sample ID: 62","def add(a, b):
    return a + b
# Sample ID: 62",Minor syntax corrections,https://github.com/open-source-repo/commit/fd4651aaa8705e67c59ed2d288bbbedf20d56b8a,2023-11-07
63,"def add(a, b)
    return a + b
# Sample ID: 63","def add(a, b):
    return a + b
# Sample ID: 63",Minor syntax corrections,https://github.com/open-source-repo/commit/3ba3401cd09859088ca2d55419cdc994e9ade252,2024-08-02
64,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 64","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 64",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/7da5ee8758806ba29094ebe841f92e61be4f1a9c,2025-02-09
65,"while True
    do_something()
# Sample ID: 65","while True:
    do_something()
# Sample ID: 65",Minor syntax corrections,https://github.com/open-source-repo/commit/05e8743fb2f2af170d2296205fc90997b3310124,2024-04-12
66,"def add(a, b)
    return a + b
# Sample ID: 66","def add(a, b):
    return a + b
# Sample ID: 66",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/698edc071904a153c9dbdeacc92a72a8eb565c9f,2024-03-22
67,"def foo()
    print('Missing colon in function definition')
# Sample ID: 67","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 67",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/d7bdbac0bf5b44654d91b2dc73a2b73b31cf0b3e,2023-10-10
68,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 68","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 68",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/d897e42964d658861cc4b0eb390c165a0cbe5b2e,2024-10-21
69,"if x = 5:
    print('x is 5')
# Sample ID: 69","if x == 5:
    print('x is 5')
# Sample ID: 69",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/ab31d703f84fadb932442f2f728eed43f07d89a8,2025-07-17
70,"if x = 5:
    print('x is 5')
# Sample ID: 70","if x == 5:
    print('x is 5')
# Sample ID: 70",Added missing parentheses for print function,https://github.com/open-source-repo/commit/d8fb17eff077eba9a1cc93ffbb6abd9be6aecfd3,2025-03-28
71,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 71","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 71",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/964c353b09ebfa4dfbfb9e14bdabf9d16eba7894,2025-01-27
72,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 72","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 72",Improved readability with proper indentation,https://github.com/open-source-repo/commit/b5d9e2d5a79d56f90294889189a07f8fb33eb809,2025-07-24
73,"def add(a, b)
    return a + b
# Sample ID: 73","def add(a, b):
    return a + b
# Sample ID: 73",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/5d6166a01ae1d65ed001497c517d0571a3fc264b,2025-05-22
74,"def foo()
    print('Missing colon in function definition')
# Sample ID: 74","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 74",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/1208d60c3da02e8ac696a9c4cc3846e9b4429a3d,2024-09-25
75,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 75","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 75",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/ce75c37f82b023173b536e546a712b790d964098,2025-06-04
76,"if x = 5:
    print('x is 5')
# Sample ID: 76","if x == 5:
    print('x is 5')
# Sample ID: 76",Minor syntax corrections,https://github.com/open-source-repo/commit/c1da0f6dd8a32ce5faed3a7a6cc19d0b384dbef8,2024-10-03
77,"x = [1, 2, 3]
print x
# Sample ID: 77","x = [1, 2, 3]
print(x)
# Sample ID: 77",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/cffc68bf7d4219620ecfd983dcefbd80e38c3ec3,2024-08-28
78,"for i in range(10):
print(i)
# Sample ID: 78","for i in range(10):
    print(i)
# Sample ID: 78",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/5168457feadb7eb82889f9139c00c3b696c923b4,2023-09-30
79,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 79","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 79",Improved readability with proper indentation,https://github.com/open-source-repo/commit/66ad00d341e795fed88b5b9fbd0e257e651b1d54,2024-12-18
80,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 80","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 80",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/1a517fc8e21f77adee66a22eb6c89c912d72064e,2024-07-16
81,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 81","def greet(name):
    print('Hello, ' + name)
# Sample ID: 81",Updated function definition to include colon,https://github.com/open-source-repo/commit/9ce6b0c51cc9ca071457ba04f0c31e2a511edaf2,2024-12-29
82,"if x = 5:
    print('x is 5')
# Sample ID: 82","if x == 5:
    print('x is 5')
# Sample ID: 82",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/deaed7b167be4b8f4ec8dcc700d7f65db7061cd6,2024-04-26
83,"def add(a, b)
    return a + b
# Sample ID: 83","def add(a, b):
    return a + b
# Sample ID: 83",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/d0f2d160b83a822c23f5db4e35c90b201e0c41db,2025-05-29
84,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 84","def greet(name):
    print('Hello, ' + name)
# Sample ID: 84",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/499e35bb2681dddec0de385e5ceac64917752434,2025-03-17
85,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 85","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 85",Updated function definition to include colon,https://github.com/open-source-repo/commit/effef777b40d9f5db590e136562585ebeb12aa38,2024-03-12
86,"for i in range(10):
print(i)
# Sample ID: 86","for i in range(10):
    print(i)
# Sample ID: 86",Improved readability with proper indentation,https://github.com/open-source-repo/commit/0740d69f9eb3b5a6d01b5ae6df509565b20128c6,2025-05-08
87,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 87","def greet(name):
    print('Hello, ' + name)
# Sample ID: 87",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/f12c2aae1b1023c4de030f340735e8e45ce11279,2023-12-05
88,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 88","def greet(name):
    print('Hello, ' + name)
# Sample ID: 88",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/ff5c6c99cb49c0183941136e969f369a4ece3a53,2023-10-23
89,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 89","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 89",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/07bd5bc7de758024cb953db176d739eee060eae0,2024-04-13
90,"x = [1, 2, 3]
print x
# Sample ID: 90","x = [1, 2, 3]
print(x)
# Sample ID: 90",Added missing parentheses for print function,https://github.com/open-source-repo/commit/f040513cc4cb5a1bdc4eb60c1eaf5143a752bac6,2025-04-18
91,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 91","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 91",Improved readability with proper indentation,https://github.com/open-source-repo/commit/d44089a13a398a760903dea35c8e87e31f520eec,2024-10-01
92,"while True
    do_something()
# Sample ID: 92","while True:
    do_something()
# Sample ID: 92",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/75576090223a417ac223575e8b07182072d36c29,2025-01-23
93,"for i in range(10):
print(i)
# Sample ID: 93","for i in range(10):
    print(i)
# Sample ID: 93",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/e181a1821d17ebc136d419e4801109ab66862caf,2025-06-05
94,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 94","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 94",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/abc3fa8d5182209b25b7a65a4c99e5dd76d69a8b,2025-05-01
95,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 95","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 95",Added missing parentheses for print function,https://github.com/open-source-repo/commit/81c816eaa26ff7c9fb1eb45b967969c7bf440f39,2024-05-30
96,"while True
    do_something()
# Sample ID: 96","while True:
    do_something()
# Sample ID: 96",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/5de004f5c8fa71621bb5380b8d32c279bfe13d38,2023-08-27
97,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 97","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 97",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/b24be2eee8c70fa4060c994dfa5eae3d3e7d39be,2023-12-05
98,"for i in range(10):
print(i)
# Sample ID: 98","for i in range(10):
    print(i)
# Sample ID: 98",Added missing parentheses for print function,https://github.com/open-source-repo/commit/ae3095386be63b5d38e50a7a1845dd5e28e715a2,2024-01-23
99,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 99","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 99",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/ff9668bbef39917575f757779fa343525af17833,2023-12-02
100,"if x = 5:
    print('x is 5')
# Sample ID: 100","if x == 5:
    print('x is 5')
# Sample ID: 100",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/11bb90d402add3748d9e079a65011ae2ded96b67,2025-02-04
101,"x = [1, 2, 3]
print x
# Sample ID: 101","x = [1, 2, 3]
print(x)
# Sample ID: 101",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/d400c5cf39cb24ff045985a7b8fae61576069871,2023-08-05
102,"x = [1, 2, 3]
print x
# Sample ID: 102","x = [1, 2, 3]
print(x)
# Sample ID: 102",Improved readability with proper indentation,https://github.com/open-source-repo/commit/3a2a7e91f52da36b7707abb5795e348ec0a6c122,2024-10-26
103,"x = [1, 2, 3]
print x
# Sample ID: 103","x = [1, 2, 3]
print(x)
# Sample ID: 103",Fixed syntax error due to missing colon,https://github.com/open-source-repo/commit/8c8733ab0f6c5deeac645cf39efcd99d06c1dd84,2024-08-04
104,"if x = 5:
    print('x is 5')
# Sample ID: 104","if x == 5:
    print('x is 5')
# Sample ID: 104",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/49ecb0a9533909d3dcb8c01f8f3d73d6cd7d4e6e,2024-05-06
105,"def foo()
    print('Missing colon in function definition')
# Sample ID: 105","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 105",Improved readability with proper indentation,https://github.com/open-source-repo/commit/f03294f4de018f2ed61ec01ea767494d6c8ab1b0,2023-07-31
106,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 106","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 106",Minor syntax corrections,https://github.com/open-source-repo/commit/5b3ca7808ef5a0a70e803c965b0f4d00491c3446,2025-06-26
107,"if x = 5:
    print('x is 5')
# Sample ID: 107","if x == 5:
    print('x is 5')
# Sample ID: 107",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/7ccfc78af596d17fd263ae94eed439101073744f,2023-12-29
108,"if x = 5:
    print('x is 5')
# Sample ID: 108","if x == 5:
    print('x is 5')
# Sample ID: 108",Added missing parentheses for print function,https://github.com/open-source-repo/commit/dc3f9c4cc756ae5ffa60c95bd06ee842fe68b555,2024-11-15
109,"x = [1, 2, 3]
print x
# Sample ID: 109","x = [1, 2, 3]
print(x)
# Sample ID: 109",Updated function definition to include colon,https://github.com/open-source-repo/commit/6cbf62c6cd1a788f22d45fc2fe02f5fa1375c57c,2023-12-20
